timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-07-23 00:46:00,13,266,625,1,743,905,0
2026-07-23 01:46:00,34,269,628,1,692,932,0
2026-07-23 02:46:00,28,269,568,1,658,866,0
2026-07-23 03:46:00,21,270,524,1,637,816,0
2026-07-23 04:46:00,15,271,555,1,630,842,0
2026-07-23 05:46:00,37,273,629,2,650,941,0
2026-07-23 06:46:00,56,272,607,8,705,943,0
2026-07-23 07:46:00,46,271,480,55,786,852,0
2026-07-23 08:46:00,37,269,466,48,862,820,0
2026-07-23 09:46:00,42,267,468,44,923,821,0
2026-07-23 10:46:00,37,266,466,115,960,884,0
2026-07-23 11:46:00,23,263,501,114,996,901,0
2026-07-23 12:46:00,28,258,500,129,1026,915,0
2026-07-23 13:46:00,31,259,530,130,1047,950,0
2026-07-23 14:46:00,109,261,580,142,1071,1092,0
2026-07-23 15:46:00,159,296,593,141,1097,1189,0
2026-07-23 16:46:00,112,262,607,139,1122,1120,0
2026-07-23 17:46:00,88,263,600,101,1125,1052,0
2026-07-23 18:46:00,64,261,608,108,1102,1041,0
2026-07-23 19:46:00,51,263,607,42,1074,963,0
2026-07-23 20:46:00,27,262,604,4,1049,897,0
2026-07-23 21:46:00,18,260,608,1,1012,887,0
2026-07-23 22:46:00,44,257,633,1,933,935,0
2026-07-23 23:46:00,48,258,616,2,846,924,0
