timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-09-14 00:06:00,285,249,520,0,601,1054,0
2026-09-14 01:06:00,332,246,510,0,561,1088,0
2026-09-14 02:06:00,302,247,440,0,537,989,0
2026-09-14 03:06:00,292,249,437,0,523,978,0
2026-09-14 04:06:00,297,249,451,0,520,997,0
2026-09-14 05:06:00,233,245,520,0,536,998,0
2026-09-14 06:06:00,285,245,523,0,595,1053,0
2026-09-14 07:06:00,370,245,538,1,710,1154,0
2026-09-14 08:06:00,384,245,578,31,806,1238,0
2026-09-14 09:06:00,357,239,391,107,839,1094,0
2026-09-14 10:06:00,354,239,345,143,845,1081,0
2026-09-14 11:06:00,359,239,293,96,846,987,0
2026-09-14 12:06:00,363,238,290,140,834,1031,0
2026-09-14 13:06:00,357,239,289,127,827,1012,0
2026-09-14 14:06:00,345,240,290,127,817,1002,0
2026-09-14 15:06:00,335,239,337,114,818,1025,0
2026-09-14 16:06:00,348,240,371,103,816,1062,0
2026-09-14 17:06:00,381,238,375,85,829,1079,0
2026-09-14 18:06:00,355,239,451,55,833,1100,0
2026-09-14 19:06:00,357,240,669,13,835,1279,0
2026-09-14 20:06:00,178,239,583,0,839,1000,0
2026-09-14 21:06:00,143,239,679,0,820,1061,0
2026-09-14 22:06:00,100,240,627,0,754,967,0
2026-09-14 23:06:00,111,240,637,0,672,988,0
