timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-02-12 00:46:00,278,281,357,0,688,916,0
2026-02-12 01:46:00,265,276,609,0,666,1149,0
2026-02-12 02:46:00,324,278,600,0,653,1202,0
2026-02-12 03:46:00,359,278,608,0,649,1245,0
2026-02-12 04:46:00,383,281,637,0,661,1301,0
2026-02-12 05:46:00,392,276,609,0,709,1277,0
2026-02-12 06:46:00,382,277,609,0,811,1268,0
2026-02-12 07:46:00,389,277,596,4,914,1266,0
2026-02-12 08:46:00,386,276,605,70,957,1337,0
2026-02-12 09:46:00,372,278,464,114,949,1228,0
2026-02-12 10:46:00,351,276,569,111,932,1307,0
2026-02-12 11:46:00,349,276,501,102,917,1228,0
2026-02-12 12:46:00,344,277,446,100,898,1167,0
2026-02-12 13:46:00,351,278,466,106,883,1201,0
2026-02-12 14:46:00,363,279,355,115,880,1112,0
