timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-11-07 00:46:00,331,199,180,0,563,710,0
2025-11-07 01:46:00,298,197,182,0,530,676,0
2025-11-07 02:46:00,298,198,210,0,510,706,0
2025-11-07 03:46:00,356,198,239,0,504,793,0
2025-11-07 04:46:00,257,198,242,0,507,697,0
2025-11-07 05:46:00,262,198,319,0,548,779,0
2025-11-07 06:46:00,216,198,430,0,641,844,0
2025-11-07 07:46:00,236,198,313,6,739,753,0
2025-11-07 08:46:00,252,201,294,13,788,760,0
2025-11-07 09:46:00,328,202,295,30,801,855,0
2025-11-07 10:46:00,407,203,296,35,803,941,0
2025-11-07 11:46:00,407,203,299,41,801,950,0
2025-11-07 12:46:00,407,200,293,24,795,924,0
2025-11-07 13:46:00,407,201,298,58,788,964,0
2025-11-07 14:46:00,404,204,285,48,787,941,0
2025-11-07 15:46:00,405,204,277,38,792,924,0
2025-11-07 16:46:00,405,206,385,2,813,998,0
2025-11-07 17:46:00,409,204,451,0,819,1064,0
