timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-08-20 00:46:00,20,227,637,0,674,884,0
2026-08-20 01:46:00,20,226,637,0,617,883,0
2026-08-20 02:46:00,7,226,638,0,582,871,0
2026-08-20 03:46:00,8,222,637,0,567,867,0
2026-08-20 04:46:00,5,221,639,0,567,865,0
2026-08-20 05:46:00,0,223,622,0,595,845,0
2026-08-20 06:46:00,4,222,569,2,663,797,0
2026-08-20 07:46:00,12,220,581,49,746,862,0
2026-08-20 08:46:00,6,221,507,103,827,837,0
2026-08-20 09:46:00,0,220,555,122,881,896,0
2026-08-20 10:46:00,8,221,573,129,917,931,0
2026-08-20 11:46:00,10,222,574,133,953,939,0
2026-08-20 12:46:00,18,220,575,132,988,945,0
2026-08-20 13:46:00,59,220,573,131,1025,983,0
2026-08-20 14:46:00,155,222,600,126,1063,1103,0
2026-08-20 15:46:00,130,221,599,114,1098,1064,0
2026-08-20 16:46:00,75,220,589,86,1136,970,0
2026-08-20 17:46:00,61,222,588,68,1134,939,0
2026-08-20 18:46:00,43,221,595,41,1097,900,0
2026-08-20 19:46:00,28,222,606,5,1053,861,0
2026-08-20 20:46:00,63,221,611,0,998,895,0
2026-08-20 21:46:00,71,221,612,0,962,904,0
2026-08-20 22:46:00,49,220,627,0,882,896,0
2026-08-20 23:46:00,29,221,627,0,803,877,0
