timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-09-09 00:46:00,3,216,285,0,617,503,0
2025-09-09 01:46:00,1,214,217,0,585,431,0
2025-09-09 02:46:00,1,214,220,0,563,434,0
2025-09-09 03:46:00,0,214,220,0,547,433,0
2025-09-09 04:46:00,0,213,217,0,550,430,0
2025-09-09 05:46:00,1,215,255,0,581,471,0
2025-09-09 06:46:00,3,215,281,0,646,499,0
2025-09-09 07:46:00,3,213,286,15,721,517,0
2025-09-09 08:46:00,0,213,285,33,795,531,0
2025-09-09 09:46:00,0,214,281,56,834,550,0
2025-09-09 10:46:00,4,215,318,61,852,598,0
2025-09-09 11:46:00,27,215,277,74,872,593,0
2025-09-09 12:46:00,53,216,318,111,885,698,0
2025-09-09 13:46:00,66,214,297,96,896,673,0
2025-09-09 14:46:00,62,215,291,98,914,666,0
2025-09-09 15:46:00,94,217,313,94,940,718,0
2025-09-09 16:46:00,100,218,311,79,950,708,0
2025-09-09 17:46:00,124,218,305,47,940,694,0
2025-09-09 18:46:00,125,215,307,7,918,654,0
2025-09-09 19:46:00,204,216,308,0,875,728,0
2025-09-09 20:46:00,121,215,311,0,842,646,0
2025-09-09 21:46:00,196,213,311,0,831,719,0
2025-09-09 22:46:00,149,211,294,0,780,653,0
2025-09-09 23:46:00,52,211,259,0,698,521,0
