timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-09-15 00:06:00,88,239,626,0,594,953,0
2026-09-15 01:06:00,33,242,599,0,564,874,0
2026-09-15 02:06:00,39,243,617,0,539,899,0
2026-09-15 03:06:00,16,242,560,0,528,818,0
2026-09-15 04:06:00,1,243,562,0,526,806,0
2026-09-15 05:06:00,0,244,590,0,543,833,0
2026-09-15 06:06:00,17,243,674,0,603,934,0
2026-09-15 07:06:00,30,243,681,1,717,955,0
2026-09-15 08:06:00,31,240,677,54,808,1002,0
2026-09-15 09:06:00,48,240,626,126,838,1040,0
2026-09-15 10:06:00,65,241,655,140,842,1101,0
2026-09-15 11:06:00,95,240,555,140,837,1030,0
2026-09-15 12:06:00,115,242,538,135,823,1030,0
2026-09-15 13:06:00,133,240,556,132,818,1061,0
2026-09-15 14:06:00,122,241,632,134,809,1129,0
2026-09-15 15:06:00,138,240,682,138,810,1198,0
2026-09-15 16:06:00,124,241,679,141,812,1185,0
2026-09-15 17:06:00,177,240,552,131,823,1100,0
2026-09-15 18:06:00,248,240,695,76,828,1259,0
2026-09-15 19:06:00,239,240,680,3,833,1162,0
2026-09-15 20:06:00,235,238,688,0,842,1161,0
2026-09-15 21:06:00,242,236,698,0,829,1176,0
2026-09-15 22:06:00,212,238,694,0,754,1144,0
2026-09-15 23:06:00,186,237,619,0,680,1042,0
