timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-06-14 00:46:00,13,326,608,0,627,947,0
2026-06-14 01:46:00,3,325,598,0,585,926,0
2026-06-14 02:46:00,1,323,549,0,556,873,0
2026-06-14 03:46:00,1,324,470,0,552,795,0
2026-06-14 04:46:00,3,320,430,0,552,753,0
2026-06-14 05:46:00,1,321,329,1,549,652,0
2026-06-14 06:46:00,0,320,330,53,569,703,0
2026-06-14 07:46:00,0,317,274,128,607,717,0
2026-06-14 08:46:00,0,318,170,144,657,629,0
2026-06-14 09:46:00,0,315,170,145,731,627,0
2026-06-14 10:46:00,0,315,158,135,758,607,0
2026-06-14 11:46:00,0,315,150,146,776,611,0
2026-06-14 12:46:00,0,315,149,71,783,535,0
2026-06-14 13:46:00,0,315,149,147,775,609,0
2026-06-14 14:46:00,0,316,150,141,766,605,0
2026-06-14 15:46:00,0,315,233,137,773,682,0
2026-06-14 16:46:00,0,314,323,145,791,781,0
2026-06-14 17:46:00,0,316,432,133,810,879,0
2026-06-14 18:46:00,2,314,567,81,806,964,0
2026-06-14 19:46:00,3,314,609,71,802,997,0
2026-06-14 20:46:00,37,317,593,7,779,954,0
2026-06-14 21:46:00,23,317,585,0,771,924,0
2026-06-14 22:46:00,17,318,595,0,720,929,0
2026-06-14 23:46:00,5,317,597,0,698,918,0
