timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-02-20 00:46:00,7,253,456,0,782,716,0
2026-02-20 01:46:00,21,255,454,0,765,729,0
2026-02-20 02:46:00,33,249,434,0,758,715,0
2026-02-20 03:46:00,44,250,444,0,754,737,0
2026-02-20 04:46:00,54,239,453,0,765,745,0
2026-02-20 05:46:00,58,235,453,0,816,745,0
2026-02-20 06:46:00,59,234,454,0,903,746,0
2026-02-20 07:46:00,77,232,452,12,930,773,0
2026-02-20 08:46:00,118,228,441,45,938,832,0
2026-02-20 09:46:00,133,227,404,78,947,842,0
2026-02-20 10:46:00,104,226,332,126,955,788,0
2026-02-20 11:46:00,270,225,293,122,963,910,0
2026-02-20 12:46:00,334,216,293,117,971,960,0
2026-02-20 13:46:00,278,169,218,129,979,794,0
2026-02-20 14:46:00,238,169,188,124,961,719,0
2026-02-20 15:46:00,207,221,218,98,939,744,0
2026-02-20 16:46:00,183,222,297,20,916,722,0
2026-02-20 17:46:00,209,222,466,3,910,900,0
