timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-07-18 00:46:00,59,266,434,1,713,760,0
2026-07-18 01:46:00,114,267,437,1,674,819,0
2026-07-18 02:46:00,112,265,437,2,653,816,0
2026-07-18 03:46:00,50,269,436,2,623,757,0
2026-07-18 04:46:00,86,268,436,2,613,792,0
2026-07-18 05:46:00,43,275,437,2,610,757,0
2026-07-18 06:46:00,99,275,439,30,628,843,0
2026-07-18 07:46:00,62,274,448,97,671,881,0
2026-07-18 08:46:00,57,276,351,133,731,817,0
2026-07-18 09:46:00,96,274,349,141,798,860,0
2026-07-18 10:46:00,89,276,350,142,856,857,0
2026-07-18 11:46:00,63,275,453,140,895,931,0
2026-07-18 12:46:00,48,269,442,136,932,895,0
2026-07-18 13:46:00,33,271,443,135,956,882,0
2026-07-18 14:46:00,17,273,441,133,985,864,0
2026-07-18 15:46:00,46,272,444,141,1011,903,0
2026-07-18 16:46:00,28,277,442,56,1018,803,0
2026-07-18 17:46:00,50,277,442,50,1014,819,0
2026-07-18 18:46:00,37,275,476,27,1001,815,0
2026-07-18 19:46:00,62,277,476,8,977,823,0
2026-07-18 20:46:00,45,282,442,6,950,775,0
2026-07-18 21:46:00,109,240,409,1,944,759,0
