timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-09-02 00:46:00,73,236,518,0,632,827,0
2026-09-02 01:46:00,81,235,519,0,599,835,0
2026-09-02 02:46:00,203,237,520,0,573,960,0
2026-09-02 03:46:00,235,236,517,0,558,988,0
2026-09-02 04:46:00,96,236,517,0,560,849,0
2026-09-02 05:46:00,111,234,516,0,588,861,0
2026-09-02 06:46:00,93,236,515,0,662,844,0
2026-09-02 07:46:00,45,234,521,20,739,820,0
2026-09-02 08:46:00,24,234,526,27,814,811,0
2026-09-02 09:46:00,17,234,530,73,859,854,0
2026-09-02 10:46:00,18,234,531,89,883,872,0
2026-09-02 11:46:00,28,235,528,116,907,907,0
2026-09-02 12:46:00,55,234,527,109,913,925,0
2026-09-02 13:31:00,129,234,527,65,927,955,
2026-09-02 13:46:00,142,235,529,66,930,972,0
2026-09-02 14:31:00,218,235,518,115,941,1086,0
2026-09-02 14:46:00,256,233,526,137,945,1152,0
2026-09-02 15:31:00,235,235,523,106,951,1099,0
2026-09-02 15:46:00,232,236,522,74,952,1064,0
2026-09-02 16:31:00,231,235,523,71,955,1060,0
2026-09-02 16:46:00,280,235,522,43,955,1080,0
2026-09-02 17:31:00,334,234,527,68,947,1163,0
2026-09-02 17:46:00,372,234,530,53,943,1189,0
2026-09-02 18:31:00,368,234,524,47,917,1173,0
2026-09-02 18:46:00,341,234,525,21,907,1121,0
2026-09-02 19:31:00,276,234,579,5,882,1094,0
2026-09-02 19:46:00,280,234,641,2,875,1157,0
2026-09-02 20:31:00,232,234,636,0,850,1102,0
2026-09-02 20:46:00,214,234,583,0,841,1031,0
2026-09-02 21:31:00,167,234,528,0,829,928,0
2026-09-02 21:46:00,178,233,528,0,827,938,0
2026-09-02 22:31:00,202,237,525,0,788,963,0
2026-09-02 22:46:00,148,236,524,0,770,907,0
2026-09-02 23:31:00,132,236,530,0,711,897,0
2026-09-02 23:46:00,128,236,523,0,690,886,0
