timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-05-04 00:46:00,113,275,323,0,629,710,0
2026-05-04 01:46:00,217,275,294,0,597,785,0
2026-05-04 02:46:00,304,275,293,0,577,871,0
2026-05-04 03:46:00,244,275,155,0,569,673,0
2026-05-04 04:46:00,216,271,154,0,577,640,0
2026-05-04 05:46:00,124,271,154,0,617,548,0
2026-05-04 06:46:00,123,271,192,9,694,595,0
2026-05-04 07:46:00,138,271,193,58,780,660,0
2026-05-04 08:46:00,79,271,173,81,838,604,0
2026-05-04 09:46:00,105,271,153,94,865,623,0
2026-05-04 10:46:00,101,271,156,106,882,634,0
2026-05-04 11:46:00,122,271,154,110,883,657,0
2026-05-04 12:46:00,154,271,233,105,884,763,0
2026-05-04 13:46:00,163,270,240,104,881,777,0
2026-05-04 14:46:00,195,271,253,85,879,804,0
2026-05-04 15:46:00,240,272,158,79,875,749,0
2026-05-04 16:46:00,256,270,326,54,877,906,0
2026-05-04 17:46:00,275,271,155,61,883,762,0
2026-05-04 18:46:00,235,271,451,46,865,1003,0
2026-05-04 19:46:00,200,271,301,8,845,780,0
2026-05-04 20:46:00,130,271,295,0,840,696,0
2026-05-04 21:46:00,148,271,275,0,835,693,0
2026-05-04 22:46:00,195,269,234,0,779,697,0
2026-05-04 23:46:00,139,269,215,0,706,622,0
