timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-05-22 00:46:00,71,307,340,0,660,718,0
2026-05-22 01:46:00,48,309,309,0,647,666,0
2026-05-22 02:46:00,72,308,305,0,634,685,0
2026-05-22 03:46:00,90,305,307,0,621,702,0
2026-05-22 04:46:00,85,305,316,0,608,706,0
2026-05-22 05:46:00,75,303,327,0,595,705,0
2026-05-22 06:46:00,62,303,327,42,654,734,0
2026-05-22 07:46:00,53,303,272,115,735,743,0
2026-05-22 08:46:00,25,303,153,140,787,621,0
2026-05-22 09:46:00,24,303,156,145,797,628,0
