timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-03-17 00:46:00,153,280,216,0,563,649,0
2026-03-17 01:46:00,174,282,247,0,534,703,0
2026-03-17 02:46:00,153,279,245,0,513,677,0
2026-03-17 03:46:00,154,280,246,0,502,680,0
2026-03-17 04:46:00,256,282,246,0,506,784,0
2026-03-17 05:46:00,233,281,245,0,541,759,0
2026-03-17 06:46:00,268,282,245,0,627,795,0
2026-03-17 07:46:00,180,279,366,1,734,826,0
2026-03-17 08:46:00,284,278,392,18,812,972,0
2026-03-17 09:46:00,220,278,331,30,830,859,0
2026-03-17 10:46:00,273,279,282,81,836,915,0
2026-03-17 11:46:00,122,277,222,48,826,669,0
2026-03-17 12:46:00,158,273,223,54,818,708,0
2026-03-17 13:46:00,171,273,251,33,809,728,0
2026-03-17 14:46:00,148,271,222,40,802,681,0
2026-03-17 15:46:00,146,223,221,44,798,634,0
2026-03-17 16:46:00,170,273,251,16,797,710,0
2026-03-17 17:46:00,332,273,290,13,799,908,0
2026-03-17 18:46:00,405,272,323,11,799,1011,0
