timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-09-12 00:46:00,6,206,350,0,575,561,0
2025-09-12 01:46:00,6,206,316,0,541,527,0
2025-09-12 02:46:00,1,206,317,0,519,523,0
2025-09-12 03:46:00,0,205,319,0,513,521,0
2025-09-12 04:46:00,2,206,321,0,518,528,0
2025-09-12 05:46:00,3,205,319,0,553,526,0
2025-09-12 06:46:00,26,205,358,0,649,588,0
2025-09-12 07:46:00,35,205,360,26,749,626,0
2025-09-12 08:46:00,4,206,321,93,805,624,0
2025-09-12 09:46:00,2,206,317,129,817,654,0
2025-09-12 10:46:00,2,206,314,137,809,659,0
2025-09-12 11:46:00,0,207,262,131,816,600,0
2025-09-12 12:46:00,4,206,284,108,822,602,0
2025-09-12 13:46:00,7,206,307,131,816,651,0
2025-09-12 14:46:00,53,207,308,102,811,670,0
2025-09-12 15:46:00,82,207,292,78,823,659,0
2025-09-12 16:46:00,211,208,228,104,825,751,0
2025-09-12 17:46:00,96,207,206,42,826,551,0
2025-09-12 18:46:00,80,208,207,11,830,506,0
2025-09-12 19:46:00,65,207,235,0,843,507,0
2025-09-12 20:46:00,30,203,237,0,845,470,0
2025-09-12 21:46:00,35,203,242,0,792,479,0
2025-09-12 22:46:00,48,203,261,0,712,511,0
2025-09-12 23:46:00,63,203,260,0,607,525,0
