timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-09-21 00:46:00,108,171,296,0,545,574,0
2025-09-21 01:46:00,135,171,243,0,516,548,0
2025-09-21 02:46:00,134,171,244,0,495,548,0
2025-09-21 03:46:00,210,171,241,0,487,621,0
2025-09-21 04:46:00,168,171,243,0,497,582,0
2025-09-21 05:46:00,167,172,243,0,504,582,0
2025-09-21 06:46:00,163,171,255,0,539,589,0
2025-09-21 07:46:00,146,170,256,13,572,585,0
2025-09-21 08:46:00,127,170,253,84,605,634,0
2025-09-21 09:46:00,97,171,251,102,664,621,0
2025-09-21 10:46:00,124,170,247,101,699,642,0
2025-09-21 11:46:00,115,172,236,129,709,652,0
2025-09-21 12:46:00,106,172,238,90,728,606,0
2025-09-21 13:46:00,91,172,261,97,727,621,0
2025-09-21 14:46:00,65,174,279,116,720,634,0
2025-09-21 15:46:00,56,175,278,64,733,573,0
2025-09-21 16:46:00,35,176,278,57,756,546,0
2025-09-21 17:46:00,29,177,308,31,787,545,0
2025-09-21 18:46:00,197,175,316,3,788,691,0
2025-09-21 19:46:00,370,175,318,0,809,863,0
2025-09-21 20:46:00,379,175,285,0,806,839,0
2025-09-21 21:46:00,356,175,282,0,755,813,0
2025-09-21 22:46:00,244,175,287,0,678,706,0
2025-09-21 23:46:00,219,174,286,0,610,679,0
