timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-05-20 00:46:00,140,319,324,0,583,782,0
2026-05-20 01:46:00,162,319,287,0,548,768,0
2026-05-20 02:46:00,203,316,288,0,531,807,0
2026-05-20 03:46:00,192,316,287,0,524,795,0
2026-05-20 04:46:00,160,311,285,0,535,756,0
2026-05-20 05:46:00,182,311,286,0,574,779,0
2026-05-20 06:46:00,134,310,305,28,650,777,0
2026-05-20 07:46:00,94,311,281,92,734,778,0
2026-05-20 08:46:00,95,311,283,135,789,824,0
2026-05-20 09:46:00,170,312,284,139,812,905,0
2026-05-20 10:46:00,220,311,211,144,827,886,0
2026-05-20 11:46:00,165,311,155,93,825,724,0
2026-05-20 12:46:00,183,312,162,137,823,794,0
