timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-09-05 00:46:00,38,204,284,0,598,526,0
2025-09-05 01:46:00,40,204,284,0,509,528,0
2025-09-05 02:46:00,47,205,288,0,474,540,0
2025-09-05 03:46:00,50,210,288,0,464,548,0
2025-09-05 04:46:00,45,210,289,0,457,544,0
2025-09-05 05:46:00,24,211,285,0,531,520,0
2025-09-05 06:46:00,18,211,280,0,552,509,0
2025-09-05 07:46:00,6,212,279,26,613,523,0
2025-09-05 08:46:00,0,212,251,82,654,543,0
2025-09-05 09:46:00,0,214,224,129,716,564,0
2025-09-05 10:46:00,0,215,221,139,760,575,0
2025-09-05 11:46:00,5,218,234,140,777,597,0
2025-09-05 12:46:00,8,219,229,137,781,593,0
2025-09-05 13:46:00,20,218,227,138,781,603,0
2025-09-05 14:46:00,10,219,236,142,780,607,0
2025-09-05 15:46:00,6,216,251,143,781,616,0
2025-09-05 16:46:00,3,217,275,139,782,634,0
2025-09-05 17:46:00,12,219,284,111,781,626,0
2025-09-05 18:46:00,26,217,293,39,781,575,0
2025-09-05 19:46:00,66,217,294,1,826,578,0
2025-09-05 20:46:00,131,218,298,0,817,646,0
2025-09-05 21:46:00,146,219,294,0,796,658,0
2025-09-05 22:46:00,130,216,298,0,717,643,0
2025-09-05 23:46:00,81,216,299,0,639,595,0
