timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-09-15 00:46:00,314,212,184,0,575,709,0
2025-09-15 01:46:00,216,218,182,0,542,615,0
2025-09-15 02:46:00,231,218,181,0,519,629,0
2025-09-15 03:46:00,263,218,185,0,513,665,0
2025-09-15 04:46:00,232,218,186,0,518,636,0
2025-09-15 05:46:00,312,218,185,0,553,715,0
2025-09-15 06:46:00,296,218,185,0,649,699,0
2025-09-15 07:46:00,223,195,188,12,750,618,0
2025-09-15 08:46:00,159,195,190,100,805,644,0
2025-09-15 09:46:00,148,198,187,90,820,623,0
2025-09-15 10:46:00,157,197,187,75,817,616,0
2025-09-15 11:46:00,181,197,206,55,818,639,0
2025-09-15 12:46:00,176,197,236,44,818,653,0
2025-09-15 13:46:00,139,194,189,88,811,610,0
2025-09-15 14:46:00,158,194,186,84,807,622,0
2025-09-15 15:46:00,119,193,228,24,806,564,0
