timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-05-30 00:46:00,258,363,138,0,575,758,0
2026-05-30 01:46:00,286,363,139,0,553,787,0
2026-05-30 02:46:00,230,363,140,0,526,732,0
2026-05-30 03:46:00,214,366,140,0,515,719,0
2026-05-30 04:46:00,162,368,139,0,506,668,0
2026-05-30 05:46:00,99,367,141,0,530,607,0
2026-05-30 06:46:00,114,367,139,7,547,627,0
2026-05-30 07:46:00,58,367,154,7,585,586,0
2026-05-30 08:46:00,9,371,153,11,627,544,0
2026-05-30 09:46:00,19,367,152,16,667,554,0
2026-05-30 10:46:00,35,364,153,16,702,568,0
2026-05-30 11:46:00,37,364,153,25,709,579,0
2026-05-30 12:46:00,62,363,154,59,714,638,0
2026-05-30 13:46:00,86,362,154,50,703,652,0
2026-05-30 14:46:00,94,363,154,30,689,641,0
2026-05-30 15:46:00,119,361,154,6,684,640,0
2026-05-30 16:46:00,123,365,153,11,694,652,0
2026-05-30 17:46:00,115,365,152,35,702,667,0
2026-05-30 18:46:00,193,369,154,42,701,758,0
2026-05-30 19:46:00,230,378,153,11,687,772,0
2026-05-30 20:46:00,262,383,153,1,686,799,0
2026-05-30 21:46:00,292,391,155,0,692,837,0
2026-05-30 22:46:00,248,331,155,0,656,733,0
2026-05-30 23:46:00,194,392,149,0,592,734,0
