timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-01-13 00:46:00,412,267,225,0,648,904,0
2026-01-13 01:46:00,414,267,224,0,619,905,0
2026-01-13 02:46:00,406,267,225,0,601,898,0
2026-01-13 03:46:00,368,272,223,0,595,863,0
2026-01-13 04:46:00,408,273,224,0,600,905,0
2026-01-13 05:46:00,398,278,244,0,645,920,0
2026-01-13 06:46:00,384,280,465,0,748,1129,0
2026-01-13 07:46:00,392,273,498,0,847,1163,0
2026-01-13 08:46:00,276,273,417,6,900,972,0
2026-01-13 09:46:00,291,270,408,8,910,977,0
2026-01-13 10:46:00,293,270,275,15,906,853,0
2026-01-13 11:46:00,305,269,216,28,895,818,0
2026-01-13 12:46:00,297,268,215,43,883,823,0
2026-01-13 13:46:00,297,268,216,52,871,833,0
2026-01-13 14:46:00,294,263,216,53,859,826,0
2026-01-13 15:46:00,255,261,215,16,854,747,0
2026-01-13 16:46:00,280,263,223,3,873,769,0
2026-01-13 17:46:00,267,260,455,0,917,982,0
2026-01-13 18:46:00,276,259,395,0,937,930,0
2026-01-13 19:46:00,254,260,395,0,932,909,0
2026-01-13 20:46:00,230,253,493,0,886,976,0
2026-01-13 21:46:00,214,257,493,0,853,964,0
2026-01-13 22:46:00,191,261,393,0,768,845,0
2026-01-13 23:46:00,171,263,394,0,697,828,0
