timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-07-26 00:46:00,82,262,553,2,737,899,0
2026-07-26 01:46:00,72,261,524,2,691,859,0
2026-07-26 02:46:00,46,262,526,2,651,836,0
2026-07-26 03:46:00,35,263,527,2,627,827,0
2026-07-26 04:46:00,94,258,526,2,625,880,0
2026-07-26 05:46:00,88,260,524,2,607,874,0
2026-07-26 06:46:00,98,256,526,21,619,901,0
2026-07-26 07:46:00,51,256,481,35,689,823,0
2026-07-26 08:46:00,64,256,491,115,758,926,0
2026-07-26 09:46:00,48,253,518,125,772,944,0
