timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-10-10 00:46:00,25,193,406,0,513,623,0
2025-10-10 01:46:00,6,191,406,0,513,602,0
2025-10-10 02:46:00,0,192,326,0,498,517,0
2025-10-10 03:46:00,0,192,343,0,485,533,0
2025-10-10 04:46:00,0,195,363,0,476,557,0
2025-10-10 05:46:00,20,194,380,0,471,594,0
2025-10-10 06:46:00,31,194,366,0,545,591,0
2025-10-10 07:46:00,4,196,399,3,592,602,0
2025-10-10 08:46:00,3,195,383,26,601,607,0
2025-10-10 09:46:00,25,196,395,33,621,649,0
2025-10-10 10:46:00,82,195,399,83,756,759,0
2025-10-10 11:46:00,35,196,402,87,791,720,0
2025-10-10 12:46:00,52,196,401,87,793,736,0
2025-10-10 13:46:00,31,196,400,94,788,721,0
2025-10-10 14:46:00,33,196,351,73,784,653,0
2025-10-10 15:46:00,98,195,311,107,783,711,0
