timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-07-07 00:46:00,39,331,630,0,723,999,0
2026-07-07 01:46:00,26,334,523,0,684,882,0
2026-07-07 02:46:00,24,336,526,0,660,885,0
2026-07-07 03:46:00,1,335,525,0,644,861,0
2026-07-07 04:46:00,0,335,453,0,643,787,0
2026-07-07 05:46:00,8,338,510,0,660,856,0
2026-07-07 06:46:00,7,338,482,34,726,861,0
2026-07-07 07:46:00,0,341,429,76,807,846,0
2026-07-07 08:46:00,10,340,436,105,887,891,0
2026-07-07 09:46:00,12,340,426,141,942,919,0
2026-07-07 10:46:00,28,341,479,122,976,970,0
2026-07-07 11:46:00,14,340,459,134,1003,947,0
2026-07-07 12:46:00,22,340,460,145,1015,967,0
2026-07-07 13:46:00,40,342,588,144,1030,1114,0
2026-07-07 14:46:00,89,341,587,105,1050,1122,0
2026-07-07 15:46:00,98,339,586,106,1071,1129,0
2026-07-07 16:46:00,86,339,579,116,1081,1120,0
2026-07-07 17:46:00,90,339,577,102,1065,1108,0
2026-07-07 18:46:00,108,339,578,87,1032,1112,0
2026-07-07 19:46:00,94,339,573,60,998,1066,0
2026-07-07 20:46:00,52,342,586,7,968,987,0
2026-07-07 21:46:00,61,341,584,0,948,986,0
2026-07-07 22:46:00,73,342,599,0,891,1014,0
2026-07-07 23:46:00,44,337,601,0,197,982,0
