timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-11-24 00:46:00,32,216,412,0,647,659,0
2025-11-24 01:46:00,21,218,325,0,618,563,0
2025-11-24 02:46:00,48,217,323,0,604,587,0
2025-11-24 03:46:00,111,219,323,0,598,653,0
2025-11-24 04:46:00,41,219,341,0,606,601,0
2025-11-24 05:46:00,18,219,339,0,655,576,0
2025-11-24 06:46:00,17,219,459,0,747,695,0
2025-11-24 07:46:00,48,218,468,0,845,734,0
2025-11-24 08:46:00,111,220,393,7,900,731,0
2025-11-24 09:46:00,137,219,409,71,906,836,0
2025-11-24 10:46:00,113,220,386,90,899,809,0
2025-11-24 11:46:00,223,219,375,39,888,856,0
2025-11-24 12:46:00,306,219,352,20,873,897,0
2025-11-24 13:46:00,400,218,335,48,861,1001,0
2025-11-24 14:46:00,401,217,300,32,853,950,0
2025-11-24 15:46:00,424,220,314,13,853,971,0
2025-11-24 16:46:00,424,217,414,0,877,1055,0
2025-11-24 17:46:00,396,219,425,0,931,1040,0
2025-11-24 18:46:00,401,219,396,0,951,1016,0
2025-11-24 19:46:00,379,218,404,0,934,1001,0
2025-11-24 20:46:00,345,218,365,0,902,928,0
2025-11-24 21:46:00,332,219,365,0,848,916,0
2025-11-24 22:46:00,304,219,369,0,778,892,0
2025-11-24 23:46:00,197,218,322,0,725,737,0
