timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-12-19 00:46:00,343,269,58,0,648,670,0
2025-12-19 01:46:00,297,272,93,0,615,662,0
2025-12-19 02:46:00,356,270,96,0,596,722,0
2025-12-19 03:46:00,356,270,90,0,590,716,0
2025-12-19 04:46:00,249,270,90,0,591,609,0
2025-12-19 05:46:00,244,270,89,0,636,603,0
2025-12-19 06:46:00,209,270,90,0,742,569,0
2025-12-19 07:46:00,207,269,138,0,839,614,0
2025-12-19 08:46:00,200,267,180,11,892,658,0
2025-12-19 09:46:00,263,271,190,17,904,741,0
2025-12-19 10:46:00,279,267,239,32,903,817,0
2025-12-19 11:46:00,269,264,236,22,894,791,0
2025-12-19 12:46:00,266,265,245,21,882,797,0
2025-12-19 13:46:00,271,264,252,12,871,799,0
2025-12-19 14:46:00,271,265,213,14,869,763,0
