timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-09-19 00:46:00,137,233,517,0,678,886,0
2026-09-19 01:46:00,132,232,515,0,678,878,0
2026-09-19 02:46:00,88,232,516,0,678,835,0
2026-09-19 03:46:00,113,232,516,0,678,860,0
2026-09-19 04:46:00,127,233,515,0,678,874,0
2026-09-19 05:46:00,160,233,517,0,678,910,0
2026-09-19 06:46:00,143,233,517,0,678,893,0
2026-09-19 07:46:00,138,232,536,1,678,907,0
2026-09-19 08:46:00,95,233,529,5,678,862,0
2026-09-19 09:46:00,87,233,529,15,678,864,0
2026-09-19 10:46:00,90,234,549,14,678,887,0
2026-09-19 11:46:00,80,232,528,46,678,886,0
2026-09-19 12:46:00,60,236,538,47,678,881,0
2026-09-19 13:46:00,96,236,530,72,678,934,0
2026-09-19 14:46:00,96,235,528,36,678,895,0
2026-09-19 15:46:00,156,236,531,82,678,1005,0
2026-09-19 16:46:00,141,236,533,20,678,930,0
2026-09-19 17:46:00,102,237,587,9,678,935,0
2026-09-19 18:46:00,117,237,693,2,678,1049,0
2026-09-19 19:46:00,79,237,696,0,678,1011,0
2026-09-19 20:46:00,86,238,608,0,678,931,0
2026-09-19 21:46:00,57,237,612,0,678,905,0
2026-09-19 22:46:00,31,238,553,0,678,821,0
2026-09-19 23:46:00,11,236,610,0,678,856,0
