timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-01-21 00:46:00,420,269,523,0,684,1211,0
2026-01-21 01:46:00,390,269,485,0,665,1143,0
2026-01-21 02:46:00,384,270,575,0,655,1229,0
2026-01-21 03:46:00,388,269,567,0,651,1224,0
2026-01-21 04:46:00,395,269,581,0,663,1245,0
2026-01-21 05:46:00,360,269,537,0,713,1166,0
2026-01-21 06:46:00,293,269,562,0,810,1124,0
2026-01-21 07:46:00,241,268,556,0,919,1065,0
2026-01-21 08:46:00,192,265,545,17,969,1019,0
2026-01-21 09:46:00,195,262,544,59,964,1060,0
2026-01-21 10:46:00,124,256,557,67,948,1004,0
2026-01-21 11:46:00,80,250,560,66,932,956,0
2026-01-21 12:46:00,138,250,380,72,914,840,0
2026-01-21 13:46:00,175,258,370,80,895,883,0
2026-01-21 14:46:00,163,264,373,87,886,887,0
2026-01-21 15:46:00,156,266,373,59,889,854,0
2026-01-21 16:46:00,158,266,528,5,917,957,0
2026-01-21 17:46:00,171,272,528,0,976,971,0
2026-01-21 18:46:00,86,273,528,0,996,886,0
2026-01-21 19:46:00,100,273,537,0,989,909,0
2026-01-21 20:46:00,48,273,532,0,954,852,0
2026-01-21 21:46:00,100,272,541,0,906,912,0
2026-01-21 22:46:00,140,273,531,0,831,943,0
2026-01-21 23:46:00,156,274,541,0,951,970,0
