timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-10-05 00:46:00,211,174,379,0,571,764,0
2025-10-05 01:46:00,206,175,314,0,539,695,0
2025-10-05 02:46:00,178,174,312,0,526,663,0
2025-10-05 03:46:00,186,174,373,0,518,732,0
2025-10-05 04:46:00,225,175,323,0,518,722,0
2025-10-05 05:46:00,256,175,375,0,533,805,0
2025-10-05 06:46:00,291,175,401,0,579,866,0
2025-10-05 07:46:00,265,174,392,0,646,831,0
2025-10-05 08:46:00,236,178,404,5,703,823,0
2025-10-05 09:46:00,194,180,272,9,755,655,0
2025-10-05 10:46:00,178,183,266,42,795,669,0
2025-10-05 11:46:00,166,182,285,36,796,669,0
2025-10-05 12:46:00,151,182,306,49,793,688,0
2025-10-05 13:46:00,162,181,284,53,768,680,0
2025-10-05 14:46:00,145,182,270,42,754,639,0
2025-10-05 15:46:00,116,180,315,31,752,642,0
