timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-09-21 00:16:00,10,232,692,0,576,934,0
2026-09-21 00:46:00,6,233,692,0,678,931,0
2026-09-21 01:16:00,3,233,694,0,555,930,0
2026-09-21 01:46:00,1,232,690,0,678,923,0
2026-09-21 02:16:00,1,232,695,0,533,928,0
2026-09-21 02:46:00,5,233,676,0,678,914,0
2026-09-21 03:16:00,5,232,666,0,520,903,0
2026-09-21 03:46:00,6,233,616,0,678,855,0
2026-09-21 04:16:00,5,234,599,0,520,838,0
2026-09-21 04:46:00,6,233,603,0,678,842,0
2026-09-21 05:16:00,8,235,669,0,540,912,0
2026-09-21 05:46:00,12,234,683,0,678,929,0
2026-09-21 06:16:00,15,235,685,0,607,935,0
2026-09-21 06:46:00,15,234,682,0,678,931,0
2026-09-21 07:16:00,18,235,697,0,715,950,0
2026-09-21 07:46:00,23,234,696,8,765,961,0
2026-09-21 08:16:00,21,234,537,32,798,824,0
2026-09-21 08:46:00,14,235,540,47,815,836,0
2026-09-21 09:16:00,11,232,535,80,822,858,0
2026-09-21 09:46:00,6,235,536,88,819,865,0
2026-09-21 10:16:00,6,234,535,94,816,869,0
2026-09-21 10:46:00,6,235,532,99,813,872,0
2026-09-21 11:16:00,6,235,536,108,816,885,0
2026-09-21 11:46:00,5,235,533,123,824,896,0
2026-09-21 12:16:00,3,235,518,123,830,879,0
2026-09-21 12:46:00,5,236,532,128,833,901,0
2026-09-21 13:16:00,7,234,623,128,834,992,0
2026-09-21 13:46:00,10,235,664,132,831,1041,0
2026-09-21 14:16:00,8,235,675,134,830,1052,0
2026-09-21 14:46:00,11,235,692,136,829,1074,0
2026-09-21 15:16:00,8,235,706,138,836,1087,0
2026-09-21 15:46:00,6,234,704,140,848,1084,0
2026-09-21 16:16:00,5,235,706,140,855,1086,0
2026-09-21 16:46:00,9,229,706,138,858,1082,0
2026-09-21 17:16:00,14,227,651,131,860,1023,0
2026-09-21 17:46:00,19,234,652,102,863,1007,0
2026-09-21 18:16:00,28,234,669,60,864,991,0
2026-09-21 18:46:00,39,234,703,20,865,996,0
2026-09-21 19:16:00,64,234,705,1,865,1004,0
2026-09-21 19:46:00,91,233,704,0,866,1028,0
2026-09-21 20:16:00,126,234,705,0,863,1064,0
2026-09-21 20:46:00,115,235,659,0,859,1008,0
2026-09-21 21:16:00,84,235,640,0,837,958,0
2026-09-21 21:46:00,68,240,534,0,857,841,0
2026-09-21 22:16:00,55,239,535,0,760,828,0
2026-09-21 22:46:00,46,240,540,0,714,825,0
2026-09-21 23:16:00,33,240,527,0,671,799,0
2026-09-21 23:46:00,24,239,524,0,631,786,0
