timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-12-10 00:46:00,106,238,236,0,651,579,0
2025-12-10 01:46:00,85,236,224,0,626,545,0
2025-12-10 02:46:00,132,237,210,0,609,579,0
2025-12-10 03:46:00,141,237,208,0,602,586,0
2025-12-10 04:46:00,123,240,230,0,609,593,0
2025-12-10 05:46:00,60,239,259,0,653,558,0
2025-12-10 06:46:00,101,241,320,0,745,662,0
2025-12-10 07:46:00,176,241,310,0,844,727,0
2025-12-10 08:46:00,177,243,217,2,899,639,0
2025-12-10 09:46:00,207,213,192,10,907,622,0
2025-12-10 10:46:00,200,213,197,7,902,617,0
2025-12-10 11:46:00,271,214,198,18,892,701,0
2025-12-10 12:46:00,348,213,200,17,877,778,0
2025-12-10 13:46:00,330,244,199,47,865,820,0
2025-12-10 14:46:00,268,244,198,23,853,733,0
2025-12-10 15:46:00,306,246,196,6,848,754,0
2025-12-10 16:46:00,346,244,185,0,867,775,0
2025-12-10 17:46:00,344,244,192,0,911,780,0
2025-12-10 18:46:00,387,244,195,0,928,826,0
2025-12-10 19:46:00,372,245,193,0,921,810,0
2025-12-10 20:46:00,378,245,196,0,872,819,0
2025-12-10 21:46:00,372,245,197,0,815,814,0
2025-12-10 22:46:00,357,243,199,0,748,799,0
2025-12-10 23:46:00,372,243,191,0,708,806,0
